Scenario,Load_TPS,SR_mean,SR_std,P95_mean,P95_std,P99_mean,P99_std,N,SR_CI_L,SR_CI_U,P95_CI_L,P95_CI_U,P99_CI_L,P99_CI_U,SuccessRate (Mean±CI),P95 (Mean±CI),P99 (Mean±CI)
S1: Public Internet,5,100.0,0.0,0.9701811633064376,0.04635154414698288,1.3671592931574341,0.18291282994063054,10,100.0,100.0,0.9414521786026563,0.9989101480102188,1.253788746605065,1.4805298397098032,100.00 ± 0.00,0.970 ± 0.029,1.367 ± 0.113
S1: Public Internet,25,99.97949452386429,0.03302727557407494,0.9626399037383935,0.033421387025105,1.3359635158547736,0.06931289744945489,10,99.95902400638236,99.99996504134621,0.9419251134483726,0.9833546940284144,1.2930029369302467,1.3789240947793004,99.98 ± 0.02,0.963 ± 0.021,1.336 ± 0.043
S1: Public Internet,50,99.60546584430543,0.12941158775040754,2.0228283499435635,0.044234160418206596,2.872855810699294,0.04299090798062993,10,99.52525571121507,99.68567597739579,1.995411733271431,2.050244966615696,2.846209769871384,2.8995018515272037,99.61 ± 0.08,2.023 ± 0.027,2.873 ± 0.027
S1: Public Internet,100,95.91580453455917,0.23860003366910645,4.849756658358841,0.08747543696748214,6.60666983554505,0.12552311146529951,10,95.76791870154648,96.06369036757187,4.795538820812237,4.903974495905445,6.528869805025628,6.684469866064473,95.92 ± 0.15,4.850 ± 0.054,6.607 ± 0.078
S1: Public Internet,250,80.08832408353017,0.3756136691766785,12.31476353329497,0.06447222107035173,14.27984849535422,0.04295443974947136,10,79.85551631941148,80.32113184764886,12.274803236674098,12.354723829915843,14.253225057770159,14.30647193293828,80.09 ± 0.23,12.315 ± 0.040,14.280 ± 0.027
S1: Public Internet,500,58.0333992628926,0.23809129693949682,14.149087790459385,0.02163304202712984,14.819213596945314,0.015709593661671222,10,57.88582874817171,58.18096977761349,14.135679492096704,14.162496088822065,14.809476689916336,14.828950503974292,58.03 ± 0.15,14.149 ± 0.013,14.819 ± 0.010
S2: Private APN (Atheer),5,100.0,0.0,0.25593885095213886,0.002721575874122241,0.2747786236569588,0.010515578086671149,10,100.0,100.0,0.25425200074904963,0.2576257011552281,0.2682610008341805,0.28129624647973717,100.00 ± 0.00,0.256 ± 0.002,0.275 ± 0.007
S2: Private APN (Atheer),25,100.0,0.0,0.2543638538556125,0.001197809208654121,0.27529513284442675,0.002679540173660063,10,100.0,100.0,0.253621444016485,0.25510626369474,0.27363433663841175,0.27695592905044175,100.00 ± 0.00,0.254 ± 0.001,0.275 ± 0.002
S2: Private APN (Atheer),50,100.0,0.0,0.25564991444661433,0.0010425460850410299,0.27639862709776875,0.001714837015721629,10,100.0,100.0,0.25500373768850776,0.2562960912047209,0.2753357601037821,0.2774614940917554,100.00 ± 0.00,0.256 ± 0.001,0.276 ± 0.001
S2: Private APN (Atheer),100,100.0,0.0,0.2549741649373496,0.0006114514970238512,0.2775068992171645,0.001176600285430877,10,100.0,100.0,0.25459518337312387,0.2553531465015753,0.2767776348048416,0.2782361636294874,100.00 ± 0.00,0.255 ± 0.000,0.278 ± 0.001
S2: Private APN (Atheer),250,99.99933395497536,0.002106219302094487,0.2550982000282825,0.0004815228607231328,0.27618307949956716,0.0017281026573810296,10,99.99802850672705,100.00063940322366,0.25479974906715874,0.2553966509894062,0.2751119903756961,0.2772541686234382,100.00 ± 0.00,0.255 ± 0.000,0.276 ± 0.001
S2: Private APN (Atheer),500,99.99966517109758,0.0010588219581346488,0.25488964961320837,0.00032317696454688875,0.27670148963815466,0.0006285296547703373,10,99.99900890644881,100.00032143574634,0.2546893424553359,0.2550899567710808,0.27631192292209206,0.27709105635421727,100.00 ± 0.00,0.255 ± 0.000,0.277 ± 0.000
