Scenario,Load_TPS,SR_mean,SR_std,P95_mean,P95_std,P99_mean,P99_std,N,SR_CI_L,SR_CI_U,P95_CI_L,P95_CI_U,P99_CI_L,P99_CI_U,SuccessRate (Mean±CI),P95 (Mean±CI),P99 (Mean±CI)
S1: Public Internet,1,100.0,0.0,1.9552469091947349,0.20931660392792564,2.2362208201523037,0.2628038013386224,5,100.0,100.0,1.7717728163554562,2.1387210020340133,2.005863131653208,2.4665785086513994,100.00 ± 0.00,1.955 ± 0.183,2.236 ± 0.230
S1: Public Internet,5,99.79707887968665,0.2964920063258158,2.092554301031536,0.19183884338829774,2.893445940456111,0.31482693637061226,5,99.53719217756216,100.05696558181114,1.9244001407713973,2.2607084612916744,2.6174879635540167,3.1694039173582054,99.80 ± 0.26,2.093 ± 0.168,2.893 ± 0.276
S1: Public Internet,10,99.86912883757545,0.21127368073211908,2.1059436576391684,0.1291121588164792,2.870433110845144,0.06207068149190312,5,99.68393929128179,100.0543183838691,1.992771860615693,2.2191154546626435,2.8160257596606955,2.9248404620295925,99.87 ± 0.19,2.106 ± 0.113,2.870 ± 0.054
S1: Public Internet,20,98.01323997671565,0.21119660999606413,4.755761565505421,0.12491996483867757,6.376916212909238,0.24832494796879143,5,97.82811798590072,98.19836196753059,4.646264388519963,4.865258742490878,6.15924979895565,6.5945826268628265,98.01 ± 0.19,4.756 ± 0.109,6.377 ± 0.218
S1: Public Internet,30,91.5683048741536,0.787674020243148,7.735491995368383,0.188208370236701,10.354915186516408,0.3961428522155743,5,90.8778781540309,92.2587315942763,7.570520085133168,7.900463905603598,10.007680666745374,10.702149706287441,91.57 ± 0.69,7.735 ± 0.165,10.355 ± 0.347
S1: Public Internet,40,91.29802729254622,0.30992932516943594,9.968300062055324,0.21501702161172523,12.813107082212923,0.14357115400717899,5,91.02636226114082,91.56969232395163,9.779829332811127,10.15677079129952,12.687261417105411,12.938952747320435,91.30 ± 0.27,9.968 ± 0.188,12.813 ± 0.126
S1: Public Internet,50,90.07078956372598,0.23348659235947153,11.696002732383747,0.29492475912032495,13.815050704102386,0.15110594184892145,5,89.86612954192456,90.2754495855274,11.437489783004555,11.954515681762938,13.682600506253285,13.947500901951488,90.07 ± 0.20,11.696 ± 0.259,13.815 ± 0.132
S2: Private APN (Atheer) [Network-APN],1,100.0,0.0,0.22922744461019645,0.005489252525927623,0.24717893091914456,0.009039657388795275,5,100.0,100.0,0.2244159026270909,0.234038986593302,0.2392553218606,0.2551025399776891,100.00 ± 0.00,0.229 ± 0.005,0.247 ± 0.008
S2: Private APN (Atheer) [Network-APN],5,100.0,0.0,0.22779876343495742,0.0035247918134794823,0.2484747967091439,0.009005903313510345,5,100.0,100.0,0.22470914718717927,0.23088837968273557,0.24058077440208642,0.2563688190162014,100.00 ± 0.00,0.228 ± 0.003,0.248 ± 0.008
S2: Private APN (Atheer) [Network-APN],10,100.0,0.0,0.22928192029907107,0.0020622800550200143,0.24917480207083748,0.004062030700367317,5,100.0,100.0,0.2274742521295377,0.23108958846860445,0.2456142751759342,0.25273532896574075,100.00 ± 0.00,0.229 ± 0.002,0.249 ± 0.004
S2: Private APN (Atheer) [Network-APN],20,100.0,0.0,0.22777027726410032,0.0011018650919718605,0.251150829703331,0.0028457860793520973,5,100.0,100.0,0.22680444992700852,0.22873610460119212,0.2486563882231723,0.25364527118348973,100.00 ± 0.00,0.228 ± 0.001,0.251 ± 0.002
S2: Private APN (Atheer) [Network-APN],30,100.0,0.0,0.22779595456949636,0.0008332531437422504,0.2503660464428995,0.004640959292702789,5,100.0,100.0,0.22706557598612212,0.2285263331528706,0.24629806626285675,0.2544340266229423,100.00 ± 0.00,0.228 ± 0.001,0.250 ± 0.004
S2: Private APN (Atheer) [Network-APN],40,100.0,0.0,0.22801656944856238,0.0009005813117991462,0.24951402605051337,0.002610585319209407,5,100.0,100.0,0.22722717512384244,0.22880596377328233,0.2472257471264658,0.25180230497456096,100.00 ± 0.00,0.228 ± 0.001,0.250 ± 0.002
S2: Private APN (Atheer) [Network-APN],50,100.0,0.0,0.22779004449442647,0.00048519975928914134,0.24896395512051067,0.0023558329452045387,5,100.0,100.0,0.22736474815380714,0.2282153408350458,0.2468989764977392,0.2510289337432821,100.00 ± 0.00,0.228 ± 0.000,0.249 ± 0.002
